cik,company_name,form_type,date_filed,file_path,year,quarter
0000785956,J&J SNACK FOODS CORP,10-K,2020-11-25,edgar/data/785956/0001437749-20-024447.txt,2020,QTR4
0000807863,MITEK SYSTEMS INC,10-K/A,2020-12-11,edgar/data/807863/0000807863-20-000140.txt,2020,QTR4
0000814926,"CAPSTONE COMPANIES, INC.",10-K/A,2020-11-09,edgar/data/814926/0000939802-20-000041.txt,2020,QTR4
0000867028,FOMO CORP.,10-K/A,2020-12-08,edgar/data/867028/0001493152-20-023099.txt,2020,QTR4
0000867028,FOMO CORP.,10-K,2020-12-07,edgar/data/867028/0001493152-20-023025.txt,2020,QTR4
0000887226,PERCEPTRON INC/MI,10-K/A,2020-11-20,edgar/data/887226/0001564590-20-054800.txt,2020,QTR4
0000914712,"Steel Connect, Inc.",10-K/A,2020-11-30,edgar/data/914712/0001628280-20-016909.txt,2020,QTR4
0000924383,Genasys Inc.,10-K,2020-12-10,edgar/data/924383/0001437749-20-025049.txt,2020,QTR4
0000928465,AMCON DISTRIBUTING CO,10-K,2020-11-09,edgar/data/928465/0001558370-20-013380.txt,2020,QTR4
0000929940,ASPEN TECHNOLOGY INC /DE/,10-K,2020-12-09,edgar/data/929940/0000929940-20-000069.txt,2020,QTR4
0000945828,AMERITYRE CORP,10-K/A,2020-12-11,edgar/data/945828/0001185185-20-001738.txt,2020,QTR4
0000096699,TECHNICAL COMMUNICATIONS CORP,10-K,2020-12-28,edgar/data/96699/0001171843-20-008787.txt,2020,QTR4
0001000694,NOVAVAX INC,10-K/A,2021-04-30,edgar/data/1000694/0001104659-21-057968.txt,2021,QTR2
0001001171,BROADWAY FINANCIAL CORP \DE\,10-K/A,2021-04-30,edgar/data/1001171/0001140361-21-015252.txt,2021,QTR2
0001001614,"Riley Exploration Permian, Inc.",10-K/A,2021-06-24,edgar/data/1001614/0001140361-21-022169.txt,2021,QTR2
0001003201,"MMA Capital Holdings, Inc.",10-K/A,2021-04-30,edgar/data/1003201/0001558370-21-005403.txt,2021,QTR2
0001004989,"SPAR Group, Inc.",10-K/A,2021-04-29,edgar/data/1004989/0001437749-21-010224.txt,2021,QTR2
0001005011,"GRAPHIC PACKAGING INTERNATIONAL, LLC",10-K/A,2021-04-28,edgar/data/1005011/0001193125-21-135571.txt,2021,QTR2
0001005229,COLUMBUS MCKINNON CORP,10-K,2021-05-26,edgar/data/1005229/0001005229-21-000155.txt,2021,QTR2
0001006281,"Protalix BioTherapeutics, Inc.",10-K/A,2021-04-30,edgar/data/1006281/0001558370-21-005321.txt,2021,QTR2
0001007587,KVH INDUSTRIES INC \DE\,10-K/A,2021-04-30,edgar/data/1007587/0001007587-21-000005.txt,2021,QTR2
0000101295,UNITED GUARDIAN INC,10-K/A,2021-04-23,edgar/data/101295/0001171843-21-002686.txt,2021,QTR2
0001018164,WILLIS LEASE FINANCE CORP,10-K/A,2021-04-30,edgar/data/1018164/0001018164-21-000026.txt,2021,QTR2
0001022652,INSEEGO CORP.,10-K/A,2021-04-30,edgar/data/1022652/0001683168-21-001663.txt,2021,QTR2
0001023994,"SG BLOCKS, INC.",10-K/A,2021-04-30,edgar/data/1023994/0001213900-21-023976.txt,2021,QTR2
0001024095,"Carnegie Development, Inc",10-K,2021-04-06,edgar/data/1024095/0001477932-21-002046.txt,2021,QTR2
0000010254,EARTHSTONE ENERGY INC,10-K/A,2021-04-09,edgar/data/10254/0000010254-21-000074.txt,2021,QTR2
0001042187,Yunhong CTI Ltd.,10-K,2021-04-16,edgar/data/1042187/0001437749-21-009071.txt,2021,QTR2
0001043000,CAPITAL SENIOR LIVING CORP,10-K/A,2021-04-30,edgar/data/1043000/0001193125-21-145122.txt,2021,QTR2
0001046327,REALNETWORKS INC,10-K/A,2021-04-06,edgar/data/1046327/0001046327-21-000020.txt,2021,QTR2
0001052054,EVOLVING SYSTEMS INC,10-K/A,2021-04-08,edgar/data/1052054/0001562762-21-000140.txt,2021,QTR2
0001053369,ELITE PHARMACEUTICALS INC /NV/,10-K/A,2021-06-22,edgar/data/1053369/0001493152-21-014984.txt,2021,QTR2
0001054102,"INTERPACE BIOSCIENCES, INC.",10-K/A,2021-04-29,edgar/data/1054102/0001493152-21-010021.txt,2021,QTR2
0001064722,GIVEMEPOWER CORP,10-K/A,2021-04-16,edgar/data/1064722/0001760319-21-000043.txt,2021,QTR2
