cik,company_name,form_type,date_filed,file_path,year,quarter
0001348036,"AVALARA, INC.",10-K/A,2020-11-24,edgar/data/1348036/0001193125-20-302574.txt,2020,QTR4
0001350420,"Lincolnway Energy, LLC",10-K,2020-12-23,edgar/data/1350420/0001350420-20-000010.txt,2020,QTR4
0001350593,"Mueller Water Products, Inc.",10-K,2020-11-19,edgar/data/1350593/0001350593-20-000066.txt,2020,QTR4
0001352081,Cardinal Ethanol LLC,10-K,2020-11-18,edgar/data/1352081/0001352081-20-000025.txt,2020,QTR4
0001353406,RedHawk Holdings Corp.,10-K,2020-11-18,edgar/data/1353406/0001753926-20-000393.txt,2020,QTR4
0001359687,"RED TRAIL ENERGY, LLC",10-K,2020-12-18,edgar/data/1359687/0001359687-20-000020.txt,2020,QTR4
0001368458,"Sally Beauty Holdings, Inc.",10-K,2020-11-24,edgar/data/1368458/0001564590-20-054910.txt,2020,QTR4
0001373690,Indigenous Roots Corp.,10-K,2020-12-07,edgar/data/1373690/0001640334-20-003018.txt,2020,QTR4
0001376986,Tennessee Valley Authority,10-K,2020-11-17,edgar/data/1376986/0001376986-20-000030.txt,2020,QTR4
0001378590,"Bridgeline Digital, Inc.",10-K,2020-12-23,edgar/data/1378590/0001437749-20-025835.txt,2020,QTR4
0001378992,"BERRY GLOBAL GROUP, INC.",10-K,2020-11-23,edgar/data/1378992/0001140361-20-026326.txt,2020,QTR4
0001381668,TFS Financial CORP,10-K,2020-11-24,edgar/data/1381668/0001381668-20-000107.txt,2020,QTR4
0001382230,"ESSA Bancorp, Inc.",10-K,2020-12-14,edgar/data/1382230/0001564590-20-056993.txt,2020,QTR4
0001383414,PENNANTPARK INVESTMENT CORP,10-K,2020-11-19,edgar/data/1383414/0001564590-20-054639.txt,2020,QTR4
0001385157,TE Connectivity Ltd.,10-K,2020-11-10,edgar/data/1385157/0001558370-20-013511.txt,2020,QTR4
0001389034,Kallo Inc.,10-K,2020-12-17,edgar/data/1389034/0001520138-20-000630.txt,2020,QTR4
0001394638,CREATIVE LEARNING Corp,10-K,2020-12-30,edgar/data/1394638/0001731122-20-001347.txt,2020,QTR4
0001397016,Optex Systems Holdings Inc,10-K,2020-12-17,edgar/data/1397016/0001493152-20-023848.txt,2020,QTR4
0001403161,VISA INC.,10-K,2020-11-19,edgar/data/1403161/0001403161-20-000070.txt,2020,QTR4
0001406587,Forestar Group Inc.,10-K,2020-11-19,edgar/data/1406587/0001406587-20-000087.txt,2020,QTR4
0001407583,Bunker Hill Mining Corp.,10-K/A,2020-11-24,edgar/data/1407583/0001052918-20-000332.txt,2020,QTR4
0001407583,Bunker Hill Mining Corp.,10-K/A,2020-12-04,edgar/data/1407583/0001052918-20-000342.txt,2020,QTR4
0001409197,"Bespoke Extracts, Inc.",10-K,2020-12-18,edgar/data/1409197/0001213900-20-043297.txt,2020,QTR4
0001410738,Voip-pal.com Inc,10-K,2020-12-16,edgar/data/1410738/0001493152-20-023764.txt,2020,QTR4
0001414932,Oaktree Specialty Lending Corp,10-K,2020-11-19,edgar/data/1414932/0001414932-20-000019.txt,2020,QTR4
0001417398,"Hillenbrand, Inc.",10-K,2020-11-12,edgar/data/1417398/0001417398-20-000042.txt,2020,QTR4
0001418100,Avaya Holdings Corp.,10-K,2020-11-25,edgar/data/1418100/0001418100-20-000143.txt,2020,QTR4
0001423221,Quanex Building Products CORP,10-K,2020-12-11,edgar/data/1423221/0001423221-20-000021.txt,2020,QTR4
0001423579,"LegacyXChange, Inc.",10-K,2020-12-04,edgar/data/1423579/0001213900-20-041000.txt,2020,QTR4
0001423579,"LegacyXChange, Inc.",10-K,2020-12-23,edgar/data/1423579/0001213900-20-044308.txt,2020,QTR4
0001424844,"SOUTHWEST IOWA RENEWABLE ENERGY, LLC",10-K,2020-12-11,edgar/data/1424844/0001424844-20-000019.txt,2020,QTR4
0001434389,"UNIVERSAL SOLAR TECHNOLOGY, INC.",10-K,2020-12-29,edgar/data/1434389/0001434389-20-000007.txt,2020,QTR4
0001434389,"UNIVERSAL SOLAR TECHNOLOGY, INC.",10-K,2020-12-30,edgar/data/1434389/0001434389-20-000008.txt,2020,QTR4
0001435508,"First Savings Financial Group, Inc.",10-K,2020-12-17,edgar/data/1435508/0001104659-20-136413.txt,2020,QTR4
0001437750,Trex Acquisition Corp.,10-K,2020-12-23,edgar/data/1437750/0001477932-20-007474.txt,2020,QTR4
0001438731,ALJ REGIONAL HOLDINGS INC,10-K,2020-12-18,edgar/data/1438731/0001564590-20-057536.txt,2020,QTR4
0001440153,"Bakhu Holdings, Corp.",10-K,2020-11-13,edgar/data/1440153/0001096906-20-000263.txt,2020,QTR4
0001442999,ALTEROLA BIOTECH INC.,10-K,2020-12-14,edgar/data/1442999/0001663577-20-000468.txt,2020,QTR4
0001444307,ONCOSEC MEDICAL Inc,10-K/A,2020-11-30,edgar/data/1444307/0001493152-20-022717.txt,2020,QTR4
0001445942,Texas Mineral Resources Corp.,10-K,2020-11-30,edgar/data/1445942/0001078782-20-000930.txt,2020,QTR4
0001454742,"GOOD GAMING, INC.",10-K/A,2020-11-24,edgar/data/1454742/0001493152-20-022385.txt,2020,QTR4
0001456857,"MJ Holdings, Inc.",10-K,2020-12-10,edgar/data/1456857/0001493152-20-023268.txt,2020,QTR4
0001464963,"First Eagle Alternative Capital BDC, Inc.",10-K/A,2020-12-01,edgar/data/1464963/0001193125-20-307392.txt,2020,QTR4
0001473490,"Wall Street Media Co, Inc.",10-K,2020-11-12,edgar/data/1473490/0001493152-20-021005.txt,2020,QTR4
0001476765,"GOLUB CAPITAL BDC, Inc.",10-K,2020-11-30,edgar/data/1476765/0001476765-20-000195.txt,2020,QTR4
0001482554,Hartford Great Health Corp.,10-K,2020-11-10,edgar/data/1482554/0001493152-20-020943.txt,2020,QTR4
0001490349,Medley Capital Corp,10-K,2020-12-11,edgar/data/1490349/0001490349-20-000056.txt,2020,QTR4
0001490906,"Capitol Federal Financial, Inc.",10-K,2020-11-25,edgar/data/1490906/0001490906-20-000078.txt,2020,QTR4
0001493594,"MACOM Technology Solutions Holdings, Inc.",10-K,2020-11-18,edgar/data/1493594/0001493594-20-000063.txt,2020,QTR4
0001498301,"Ascena Retail Group, Inc.",10-K/A,2020-12-14,edgar/data/1498301/0001498301-20-000110.txt,2020,QTR4
0001498301,"Ascena Retail Group, Inc.",10-K,2020-12-11,edgar/data/1498301/0001498301-20-000105.txt,2020,QTR4
0001500198,NEUROONE MEDICAL TECHNOLOGIES Corp,10-K,2020-12-09,edgar/data/1500198/0001213900-20-041661.txt,2020,QTR4
0001502152,"AngioSoma, Inc.",10-K,2020-12-03,edgar/data/1502152/0001161697-20-000517.txt,2020,QTR4
0001504619,PennantPark Floating Rate Capital Ltd.,10-K,2020-11-18,edgar/data/1504619/0001564590-20-054484.txt,2020,QTR4
0001506251,"Citius Pharmaceuticals, Inc.",10-K,2020-12-16,edgar/data/1506251/0001213900-20-043004.txt,2020,QTR4
0001508348,"AmeriCann, Inc.",10-K,2020-12-21,edgar/data/1508348/0001437749-20-025713.txt,2020,QTR4
0001511820,Globe Net Wireless Corp.,10-K,2020-12-14,edgar/data/1511820/0001493152-20-023476.txt,2020,QTR4
0001527102,"Generation Hemp, Inc.",10-K,2020-12-15,edgar/data/1527102/0001213900-20-042822.txt,2020,QTR4
0001527613,"NuZee, Inc.",10-K,2020-12-28,edgar/data/1527613/0001493152-20-024308.txt,2020,QTR4
0001530425,"Artisan Consumer Goods, Inc.",10-K,2020-12-16,edgar/data/1530425/0001477932-20-007342.txt,2020,QTR4
0001530950,"Post Holdings, Inc.",10-K,2020-11-20,edgar/data/1530950/0001530950-20-000326.txt,2020,QTR4
0001533427,"Pazoo, Inc.",10-K,2020-12-07,edgar/data/1533427/0001477932-20-007118.txt,2020,QTR4
0001534155,"Ameri Metro, Inc. (formerly Yellowwood)",10-K/A,2020-12-17,edgar/data/1534155/0001534155-20-000227.txt,2020,QTR4
0001534155,"Ameri Metro, Inc. (formerly Yellowwood)",10-K,2020-11-12,edgar/data/1534155/0001534155-20-000215.txt,2020,QTR4
0001536089,VIRTUAL INTERACTIVE TECHNOLOGIES CORP.,10-K,2020-12-29,edgar/data/1536089/0001493152-20-024467.txt,2020,QTR4
0001537561,"Arch Therapeutics, Inc.",10-K,2020-12-11,edgar/data/1537561/0001104659-20-134664.txt,2020,QTR4
0001539680,HAMMER FIBER OPTICS HOLDINGS CORP,10-K/A,2020-12-08,edgar/data/1539680/0001078782-20-000957.txt,2020,QTR4
0001539680,HAMMER FIBER OPTICS HOLDINGS CORP,10-K,2020-11-13,edgar/data/1539680/0001078782-20-000851.txt,2020,QTR4
0001539778,"RAYONT, INC.",10-K,2020-12-18,edgar/data/1539778/0001493152-20-023879.txt,2020,QTR4
0001539894,"Atlas Financial Holdings, Inc.",10-K,2020-12-03,edgar/data/1539894/0001539894-20-000071.txt,2020,QTR4
0001540159,"Edesa Biotech, Inc.",10-K,2020-12-07,edgar/data/1540159/0001654954-20-013236.txt,2020,QTR4
0001547459,"Natural Grocers by Vitamin Cottage, Inc.",10-K,2020-12-10,edgar/data/1547459/0001437749-20-025108.txt,2020,QTR4
0001551206,Patagonia Gold Corp.,10-K,2020-11-18,edgar/data/1551206/0001721716-20-000030.txt,2020,QTR4
0001561180,PETROTEQ ENERGY INC.,10-K/A,2020-12-28,edgar/data/1561180/0001213900-20-044696.txt,2020,QTR4
0001561180,PETROTEQ ENERGY INC.,10-K,2020-12-15,edgar/data/1561180/0001213900-20-042837.txt,2020,QTR4
0001575295,Allied Corp.,10-K/A,2020-12-17,edgar/data/1575295/0001477932-20-007356.txt,2020,QTR4
